"Fornecedor";"Contratante";"Número do Contrato";"Objeto do Contrato";"Início da Vigência";"Fim da Vigência";"Data da Assinatura";"Valor do Contrato";"Valor é porcentagem?";
"FERGBRAS COMERCIO E SERVICOS LTDA";"Secretaria de Educacao";"091992018";"AQUISICAO DE KIT ESCOLAR PARA ATENDER A REDE MUNICIPAL DE JOAO PESSOA";"2018-12-21";"2019-05-31";"2018-12-21";"2291046.46";"0";
"RWR CONSULTORIA & ASSESSORIA LTDA";"Autarquia Especial Municipal de Limpeza Urbana";"0182019";"Contratacao de consultoria e assessoria tecnica contabil administrativa e financeira de forma continuada no acompanhamento ao cumprimento das metas e limites impostos pela legislacao vigente ";"2019-04-04";"2020-04-04";"2019-04-04";"62400.0";"0";
"BJ Comercio de Alimentos Ltda.";"Autarquia Especial Municipal de Limpeza Urbana";"0122019";"Aquisicao de generos estocaveis, destinados as necessidades desta Autarquia";"2019-03-21";"2019-12-31";"2019-03-18";"13343.75";"0";
"JPM JOAO PESSOA MERCANTIL EIRELLI";"Autarquia Especial Municipal de Limpeza Urbana";"0132019";"Aquisicao de generos estocaveis, destinados as necessidades desta Autarquia";"2019-03-26";"2019-12-31";"2019-03-18";"8648.0";"0";
"SM DISTRIBUIDORA DE ALIMENTOS EIRELI";"Autarquia Especial Municipal de Limpeza Urbana";"0142019";"Aquisicao de generos estocaveis, destinados as necessidades desta Autarquia";"2019-03-27";"2019-12-31";"2019-03-18";"17249.12";"0";
"JOAO FERREIRA DE O. NETO CARNES E FRIOS EPP";"Autarquia Especial Municipal de Limpeza Urbana";"0162019";"Aquisicao de generos alimenticios, destinados as necessidades desta Autarquia";"2019-03-30";"2019-12-31";"2019-03-29";"151635.0";"0";
"CHRISTIANE SOARES SANTOS DO NASCIMENTO - CNPJ";"Secretaria de Educacao";"090612019";"AQUISICAO DE EQUIPAMENTOS DE MANUTENCAO, PREVENCAO E DE USO DIARIO PELOS TECNICOS DA DIRETORIA DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - DTIC, A FIM DE ATENDER AS DEMANDAS DAS ESCOLAS, CREIS E SETORES ADMINISTRATIVOS DA SECRETARIA DE EDUCACAO E CULTURA.";"2019-04-25";"2019-12-31";"2019-04-25";"1200.0";"0";
"Servico Federal de Processamento de Dados (SERPRO)";"Superintendencia Executiva de Mobilidade Urbana";"032019";"Contratacao de empresa para prestacao dos servicos especializados de processamento de dados relativos a notificacao Eletronica de Transito por meio do Sistema de Notificacao Eletronica SNE do DENATRAN.  ";"2019-02-06";"2020-02-06";"2019-02-06";"0.0";"0";
"FAMAHA - COMERCIO DE MATERIAL DE INFORMATICA LTDA";"Secretaria de Educacao";"090622019";"AQUISICAO DE EQUIPAMENTOS DE MANUTENCAO, PREVENCAO E DE USO DIARIO PELOS TECNICOS DA DIRETORIA DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - DTIC, A FIM DE ATENDER AS DEMANDAS DAS ESCOLAS, CREIS E SETORES ADMINISTRATIVOS DA SECRETARIA DE EDUCACAO E CULTURA.";"2019-04-25";"2019-12-31";"2019-04-25";"13000.0";"0";
"K.S. Com. de Tintas e Mat. para Sin. Via. Ltda.";"Superintendencia Executiva de Mobilidade Urbana";"072019";"Aquisicao de tachoes e tachas, segregadores e material colante, sem implantacao";"2019-04-15";"2020-04-15";"2019-04-15";"76325.0";"0";
"INTTEC DISTRIBUICAO E LOGISTICA EIRELI";"Secretaria Municipal de Infraestrutura";"070122019";"Aquisicao de pa carregadeira pneus";"2019-05-03";"2020-05-04";"2019-05-03";"266989.56";"0";
"XCMG BRASIL INDUSTRIA LTDA ";"Secretaria Municipal de Infraestrutura";"070132019";"Aquisicao de motoniveladora";"2019-05-03";"2020-05-04";"2019-05-03";"1067900.0";"0";
"NMQ COMERCIO DE MAQUINAS E EQUIPAMENTOS LTDA ";"Secretaria Municipal de Infraestrutura";"070142019";"Aquisicao de retroescavadeira pneus - 4x4";"2019-05-03";"2020-05-04";"2019-05-03";"456000.0";"0";
"CNH INDUSTRIAL BRASIL LTDA ";"Secretaria Municipal de Infraestrutura";"070152019";"Aquisicao de caminhao 4x2 - Equipado para limpeza com vacuo";"2019-05-03";"2020-05-04";"2019-05-03";"326887.66";"0";
"CNH INDUSTRIAL BRASIL LTDA ";"Secretaria Municipal de Infraestrutura";"070162019";"Aquisicao de caminhao tanque 4x2 para 6.000 L";"2019-05-03";"2020-05-04";"2019-05-03";"547000.04";"0";
"DBA INDUSTRIA E COMERCIO DE EQUIPAMENTOS RODOVIARIO ";"Secretaria Municipal de Infraestrutura";"070172019";"Aquisicao de caminhao 4x2 - Equipado para limpeza e hidrojateamento";"2019-05-03";"2020-05-04";"2019-05-03";"518890.0";"0";
"CNH INDUSTRIAL BRASIL LTDA ";"Secretaria Municipal de Infraestrutura";"070182019";"Aquisicao de caminhao guindaste tipo "munck" destinado a transporte de carga e servicos gerais";"2019-05-03";"2020-05-04";"2019-05-03";"374325.31";"0";
"CNH INDUSTRIAL BRASIL LTDA ";"Secretaria Municipal de Infraestrutura";"070192019";"Aquisicao de caminhao basculante 06 M3 e caminhao basculante 10 M3";"2019-05-03";"2020-05-04";"2019-05-03";"2235000.0";"0";
"XCMG BRASIL INDUSTRIA LTDA ";"Secretaria Municipal de Infraestrutura";"070202019";"Aquisicao de escavadeira hidraulica";"2019-05-03";"2020-05-04";"2019-05-03";"439901.0";"0";
"Editora Grafica Meta Ltda.";"Superintendencia Executiva de Mobilidade Urbana";"012019";"Contratacao de servicos de reproducao xerografica a laser e encadernacao ";"2019-01-02";"2020-01-02";"2019-01-02";"237920.0";"0";
"LOKSAN COMERCIO DE VALVULAS E EQUIPAMENTOS LTDA - EP";"Secretaria Municipal de Infraestrutura";"070102019";"Aquisicao de equipamento insuflador de fumaca destinado a deteccao de ligacoes de esgoto clandestino na rede de drenagem";"";"";"2019-04-15";"15000.0";"0";
"APFORM INDUSTRIA E COMERCIO DE MOVEIS LTDA";"Secretaria de Educacao";"090582019";"Aquisicao de mobiliarios escolares para a Secretaria de Educacao do Municipio de Joao Pessoa";"2019-04-15";"2019-12-31";"2019-04-15";"37800.0";"0";
"ELFA MEDICAMENTOS LTDA";"Secretaria Municipal de Saude";"10823";"Aquisicao de medicamentos para atender demanda judicial da usuaria Maria Dantas Ribeiro";"2019-05-13";"2019-11-13";"2019-05-13";"74883.06";"0";
"APFORM INDUSTRIA E COMERCIO DE MOVEIS LTDA";"Secretaria de Educacao";"090572019";"Aquisicao de mobiliarios escolares para a Secretaria de Educacao do Municipio de Joao Pessoa";"2019-04-12";"2019-12-31";"2019-04-12";"853660.0";"0";
"ELFA MEDICAMENTOS LTDA";"Secretaria Municipal de Saude";"108222019";"AQUISICAO DE MEDICAMENTO PARA ATENDER DEMANDA JUDICIAL DO USUARIO ANTONIO ROBERTO BATISTA DOS SANTOS.";"2019-05-13";"2019-11-13";"2019-05-13";"241076.36";"0";
"ROBERTO GERMANO BEZERRA CAVALCANTI";"Secretaria de Administracao";"040772019";"Locacao de imovel galpao nao residencial destinado ao funcionamento do deposito de materiais inserviveis do departamento de material da Secretaria de Administracao - SEAD.";"2019-04-01";"2024-04-01";"2019-04-01";"558000.0";"0";
"PB CLIMA COMERCIO E SERVICOS DE REFRIGERACAO LTDA";"Secretaria de Educacao";"090632019";"Contratacao de empresa especializada na prestacao de servicos de manutencao preventiva e corretiva de condicionadores de ar pertencentes s unidades escolares CREIS e predios administrativos da Secretaria da Educacao e Saude com fornecimento de materiais insumos e reparacao de pecas ";"2019-05-13";"2020-05-13";"2019-05-13";"384999.8";"0";
"BJ Comercio de Alimentos Ltda.EPP";"Controladoria Geral do Municipio";"040010";"Aquisicao de agua mineral ( copo de 200 ml ) destinados a Controladoria Geral do Municipio-CGM e suas Secretarias Executivas.";"";"";"2019-04-05";"3840.0";"0";
"ESPERANCA DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS INDUSTRIALIZADOS EIRELI - ME";"Secretaria de Educacao";"090312019";"Agua mineral (garrafao de 20 litros)";"2019-02-22";"2019-12-31";"2019-02-22";"12960.0";"0";
"PERGON DISTRIBUIDORA DE MATERIAL DE CONTRUCAO LTDA";"Secretaria de Educacao";"090352019";"Aquisicao de cimento PORTLAND ";"2019-03-12";"2019-12-31";"2019-03-12";"13764.0";"0";
"Audaces Solucoes - Treinamentos e Palestras LTDA";"Secretaria de Educacao";"090262019";"Contratacao do psicologo Rossandro Klinjey Irineu Barros para ministrar a palestra "Motivacao e lideranca no contexto escolar, que tera como publico os gestores escolares e dos CREIs";"2019-01-31";"2019-04-30";"2019-01-31";"20000.0";"0";
"JOSE PEREIRA DE LIMA TRANSPORTE";"Secretaria de Desenvolvimento Social";"040672019";"Contratacao de empresa especializada na prestacao de servico de locacao de 01 veiculo tipo caminhao 34 destinado  Secretaria de Desenvolvimento Social-SEDES.";"2019-03-14";"2020-03-14";"2019-03-14";"137950.08";"0";
"ALOCAR - LOCADORA DE VEICULOS MAQUINAS E EQUIPAMEN";"Secretaria de Protecao e Defesa do Consumidor";"040302019";"Contratacao de empresa especializada em locacao de veiculos tipo: passeio, pick up e caminhao, para atender as necessidades da Secretaria Municipal de Defesa e Protecao do Consumidor - Procon.";"2019-02-27";"2020-02-26";"2019-02-27";"15660.0";"0";
"Unisupri Officer Com. Que. Infor. Ltda.-EPP";"Secretaria de Planejamento";"040432018";"CABECAS DE IMPRESSAO DESTINADAS AOS EQUIPAMENTOS PLOTTERS PERTENCENTES A SECRETARIA DE PLANEJAMENTO.";"2018-03-12";"2019-03-11";"2018-03-12";"13800.0";"0";
"Edvania dos Santos Carvalho";"Secretaria de Desenvolvimento Social";"040792019";"Locacao de imovel nao residencial destinado ao funcionamento da Casa Lar Feminina vinculado a SEDES.";"2019-04-01";"2019-09-01";"2019-04-01";"11963.4";"0";
"ECOMAX EMPREENDIMENTOS IMOBILIARIOS LTDA ";"Secretaria de Ciencia e Tecnologia";"040222019";"Locacao de imovel nao residencial destinado ao funcionamento da Secretaria de Cincia e Tecnologia-SECITEC.";"2019-03-15";"2021-03-15";"2019-03-15";"480000.0";"0";
"ASSOCIACAO DOS AGRICULTORES DA CIDADE DE BAYEUX - AACBY";"Secretaria de Educacao";"090442019";"Aquisicao de generos alimenticios da agricultura familiar e do empreendedor familiar rural para o atendimento ao Programa Nacional de Alimentacao Escolar/PNAE";"2019-03-14";"2019-12-31";"2019-03-14";"149350.0";"0";
"COOPERATIVA DOS AGRICULTORES E AVICULTORES DO CONDE - AGRICONDE";"Secretaria de Educacao";"090392019";"Aquisicao de generos alimenticios da agricultura familiar e do empreendedor familiar rural para o atendimento ao Programa Nacional de Alimentacao Escolar/PNAE";"2019-03-14";"2019-12-31";"2019-03-14";"306236.5";"0";
"Cooperativa dos Produtores Rurais de Monteiro LTDA - CAPRIBOM";"Secretaria de Educacao";"090492019";"Aquisicao de generos alimenticios da agricultura familiar e do empreendedor familiar rural para o atendimento ao Programa Nacional de Alimentacao Escolar/PNAE";"2019-03-15";"2019-12-31";"2019-03-15";"448300.0";"0";
"COOPERATIVA AGROPECUARIA DO CARIRI LTDA";"Secretaria de Educacao";"090422019";"Aquisicao de generos alimenticios da agricultura familiar e do empreendedor familiar rural para o atendimento ao Programa Nacional de Alimentacao Escolar/PNAE";"2019-04-14";"2019-12-31";"2019-04-14";"298100.0";"0";
"COOPERATIVA DOS PRODUTORES NORDESTINOS DA AGRICULTURA FAMILIAR - CPNAF";"Secretaria de Educacao";"090462019";"Aquisicao de generos alimenticios da agricultura familiar e do empreendedor familiar rural para o atendimento ao Programa Nacional de Alimentacao Escolar/PNAE";"2019-03-15";"2019-12-31";"2019-03-15";"347190.0";"0";
"COOPERATIVA DE PRODUCAO E INDUSTRIALIZACAO DA AQUICULTURA E AGRICULTURA FAMILIAR DA PARAIBA - CINDEAS";"Secretaria de Educacao";"090412019";"Aquisicao de generos alimenticios da agricultura familiar e do empreendedor familiar rural para o atendimento ao Programa Nacional de Alimentacao Escolar/PNAE";"2019-03-14";"2019-12-31";"2019-03-14";"922500.0";"0";
"COOPERATIVA DOS PRODUTORES E DA AGRICULTURA FAMILIAR DA PARAIBA - COOPAF";"Secretaria de Educacao";"090452019";"Aquisicao de generos alimenticios da agricultura familiar e do empreendedor familiar rural para o atendimento ao Programa Nacional de Alimentacao Escolar/PNAE";"2019-03-14";"2019-12-31";"2019-03-14";"159260.0";"0";
"Cooperativa Mista dos Produtores Rurais na Agricultura Familiar do Estado da Paraiba - COOPRAFE";"Secretaria de Educacao";"090502019";"Aquisicao de generos alimenticios da agricultura familiar e do empreendedor familiar rural para o atendimento ao Programa Nacional de Alimentacao Escolar/PNAE";"2019-03-15";"2019-12-31";"2019-03-15";"50220.0";"0";
"COOPERATIVA DE PESCADORES E AGRICULTORES AGROPECUARIA DA PARAIBA - COOPEAPESCA";"Secretaria de Educacao";"090372019";"Aquisicao de generos alimenticios da agricultura familiar e do empreendedor familiar rural para o atendimento ao Programa Nacional de Alimentacao Escolar/PNAE";"2019-03-14";"2019-12-31";"2019-03-14";"141714.0";"0";
"COOPERATIVA AGRICOLA MISTA DOS PRODUTORES RURAIS DO ASSENTAMENTO NOVA VIDA LTDA - COOPERVIDA";"Secretaria de Educacao";"090382019";"Aquisicao de generos alimenticios da agricultura familiar e do empreendedor familiar rural para o atendimento ao Programa Nacional de Alimentacao Escolar/PNAE";"2019-03-15";"2019-12-31";"2019-03-15";"164380.0";"0";
"ASSOCIACAO DOS TRABALHADORES RURAIS DO ASSENTAMENTO FREI ANASTACIO";"Secretaria de Educacao";"090482019";"Aquisicao de generos alimenticios da agricultura familiar e do empreendedor familiar rural para o atendimento ao Programa Nacional de Alimentacao Escolar/PNAE";"2019-03-14";"2019-12-31";"2019-03-14";"198155.0";"0";
"COOPERATIVA AGROINDUSTRIAL DE PIABUCU RIO TINTO - FRUTIACU";"Secretaria de Educacao";"090432019";"Aquisicao de generos alimenticios da agricultura familiar e do empreendedor familiar rural para o atendimento ao Programa Nacional de Alimentacao Escolar/PNAE";"2019-03-14";"2019-12-31";"2019-03-14";"249600.0";"0";
"ASSOCIACAO DOS PRODUTORES AGROECOLOGICOS DE JOAO PESSOA - PROHORT";"Secretaria de Educacao";"090362019";"Aquisicao de generos alimenticios da agricultura familiar e do empreendedor familiar rural para o atendimento ao Programa Nacional de Alimentacao Escolar/PNAE";"2019-03-15";"2019-12-31";"2019-03-15";"62280.0";"0";
"COOPERATIVA DOS EMPREENDEDORES RURAIS REDE AGRO PB";"Secretaria de Educacao";"090402019";"Aquisicao de generos alimenticios da agricultura familiar e do empreendedor familiar rural para o atendimento ao Programa Nacional de Alimentacao Escolar/PNAE";"2019-03-14";"2019-12-31";"2019-03-14";"503120.0";"0";
"ALOCAR - LOCADORA DE VEICULOS MAQUINAS E EQUIPAMEN";"Secretaria de Habitacao Social";"04282019";"Contratacao de empresa especializada em locacao de veiculos tipo: Passeio, Pick-Up e Caminhao para atender as necessidades da Secretaria Municipal de Habitacao Social-SEMHAB.";"2019-02-26";"2020-02-25";"2019-02-26";"46980.0";"0";
"ESPERANCA DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS INDUSTRIALIZADOS EIRELE ME";"Autarquia Especial Municipal de Limpeza Urbana";"0192019";"Aquisicao de agua mineral (garrafao de 20 litros), para atender as necessidades da Autarquia";"";"2019-12-31";"2019-04-08";"11340.0";"0";
"ELFA MEDICAMENTOS LTDA";"Secretaria Municipal de Saude";"108022019";"AQUISICAO DE MEDICAMENTO PARA ATENDER A DEMANDA JUDICIAL DO USUARIO ANTONIO WASHINGTON LIRA DE MACEDO.";"2019-04-30";"2019-10-30";"2019-04-30";"48322.8";"0";
"ELFA MEDICAMENTOS LTDA";"Secretaria Municipal de Saude";"108102019";"Aquisicao de medicamento Alentuzumabe (Lemtrada) 10mg/l - solucao para diluicao para infusao - cada frasco para injetaveis contem 12mg de Alentuzumabe em 1,2ml (10mg/ml) para atender a usuaria Amanda Carneiro Stucker";"2019-04-16";"2019-10-16";"2019-04-16";"133513.45";"0";
"HENRIQUE MARTINS DE ORNELLAS";"Fundacao Cultural de Joao Pessoa";"0242019";"Contratacao do musico Henrique Martins de Ornellas para apresentacao no Hotel Globo";"2019-01-10";"2019-01-18";"2019-01-10";"3000.0";"0";
"RSN INCORPORACAO E ENGENHARIA LTDA";"Secretaria Municipal de Saude";"108052019";"Contratacao de empresa especializada para executar conclusao da construcao das Unidades Basicas de Saude";"";"";"2019-04-29";"1652253.0";"0";
"1001 SERVICOS DE ENGENHARIA E CONSTRUCAO LTDA";"Secretaria Municipal de Saude";"108062019";"Contratacao de empresa especializada para executar conclusao da construcao das Unidades Basicas de Saude";"";"";"2019-04-29";"622288.12";"0";
"DISTRIBUIDORA FF ALIMENTOS";"Autarquia Especial Municipal de Limpeza Urbana";"0092019";"Aquisicao de generos estocaveis, destinados as necessidades desta Autarquia";"2019-02-04";"2019-12-31";"2019-01-31";"100680.0";"0";
"SM DISTRIBUIDORA DE ALIMENTOS EIRELI";"Autarquia Especial Municipal de Limpeza Urbana";"0102019";"Aquisicao de generos estocaveis, destinados as necessidades desta Autarquia";"2019-02-04";"2019-12-31";"2019-01-31";"56191.2";"0";
"BJ Comercio de Alimentos Ltda.EPP";"Autarquia Especial Municipal de Limpeza Urbana";"0112019";"Aquisicao de generos estocaveis, destinados as necessidades desta Autarquia";"2019-02-04";"2019-12-31";"2019-01-31";"38640.42";"0";
"SOS GAS DISTRIBUIDORA LTDA";"Autarquia Especial Municipal de Limpeza Urbana";"0062019";"Aquisicao de gas de petroleo liquefeito a granel para atender a demanda da Autarquia";"";"2019-12-31";"2019-01-23";"69000.0";"0";
